aX,aY,aZ,gX,gY,gZ
0.038,-0.319,1.554,-94.849,39.001,25.452
0.026,-0.347,1.634,-106.079,49.255,26.733
0.027,-0.390,1.674,-123.413,57.556,26.550
0.009,-0.442,1.656,-146.301,64.209,27.588
-0.005,-0.496,1.604,-172.546,72.754,30.884
-0.035,-0.520,1.539,-198.914,81.116,34.302
-0.102,-0.563,1.479,-223.877,87.891,38.086
-0.167,-0.597,1.434,-247.986,94.727,42.725
-0.200,-0.605,1.393,-269.470,100.830,45.166
-0.218,-0.608,1.336,-291.443,104.736,45.288
-0.217,-0.609,1.245,-316.589,108.154,45.166
-0.219,-0.613,1.110,-343.384,114.258,46.570
-0.219,-0.614,0.939,-370.483,122.498,50.049
-0.237,-0.617,0.752,-397.644,130.859,55.786
-0.250,-0.628,0.568,-425.720,138.062,62.927
-0.264,-0.646,0.388,-452.820,141.785,68.604
-0.314,-0.671,0.228,-478.943,142.822,71.167
-0.312,-0.702,0.079,-502.075,142.456,71.594
-0.317,-0.773,-0.057,-523.437,137.817,68.726
-0.356,-0.866,-0.180,-546.265,131.836,63.293
-0.362,-0.972,-0.315,-564.026,128.601,57.251
-0.375,-1.112,-0.484,-583.191,126.160,49.744
-0.391,-1.345,-0.645,-613.892,127.686,39.978
-0.443,-1.682,-0.880,-647.278,134.888,30.762
-0.468,-1.953,-1.309,-670.959,144.958,21.423
-0.468,-2.196,-1.740,-704.468,153.870,6.470
-0.402,-2.362,-2.138,-748.901,158.447,-6.226
-0.351,-2.536,-2.554,-779.297,158.142,-11.475
-0.275,-2.606,-2.961,-781.311,157.898,-11.475
-0.121,-2.434,-3.435,-731.140,166.992,-10.986
0.080,-1.983,-3.910,-632.812,187.988,-9.827
0.235,-1.436,-4.000,-505.859,213.989,5.554
0.226,-0.945,-4.000,-362.122,234.375,39.246
0.100,-0.681,-4.000,-212.402,231.323,75.012
-0.022,-0.553,-3.588,-73.975,192.932,91.370
-0.126,-0.503,-2.932,27.283,126.587,85.449
-0.168,-0.635,-2.307,78.430,53.528,71.472
-0.141,-0.636,-1.818,99.426,-8.850,72.449

-0.147,-0.356,-2.140,118.713,-31.616,-16.663
-0.134,-0.407,-2.267,132.874,-37.109,-20.325
-0.139,-0.484,-2.420,151.917,-43.030,-24.536
-0.171,-0.574,-2.595,180.542,-51.208,-28.503
-0.267,-0.745,-2.843,215.637,-60.425,-31.921
-0.431,-0.957,-3.103,252.991,-65.430,-36.255
-0.531,-1.091,-3.259,299.438,-52.734,-43.579
-0.541,-1.081,-3.214,365.051,-21.362,-58.289
